Pad,Red,Green,Blue
0,0,0,0
1,28,28,28
2,124,124,124
3,252,252,252
4,252,79,77
5,252,20,27
6,89,2,4
7,25,0,0
8,253,188,106
9,252,87,31
10,89,29,5
11,36,24,1
12,253,251,65
13,253,251,55
14,88,87,12
15,24,24,1
16,132,251,64
17,76,251,47
18,25,87,9
19,20,40,2
20,67,251,64
21,41,251,46
22,7,87,9
23,1,24,1
24,66,251,83
25,41,251,46
26,7,87,9
27,1,24,1
28,66,251,131
29,41,251,74
30,7,87,25
31,1,28,15
32,64,250,178
33,42,250,149
34,8,87,50
35,1,24,15
36,66,192,252
37,29,169,252
38,5,64,80
39,0,16,24
40,69,137,251
41,16,87,251
42,2,28,88
43,0,7,24
44,72,80,251
45,11,36,251
46,1,6,89
47,0,1,24
48,131,80,251
49,81,36,251
50,22,8,101
51,11,2,49
52,253,83,252
53,252,40,252
54,89,7,89
55,25,1,25
56,252,80,133
57,252,21,86
58,89,3,28
59,33,0,16
60,252,31,28
61,153,53,15
62,121,81,14
63,63,99,13
64,3,55,4
65,7,83,51
66,9,84,124
67,11,36,251
68,5,68,76
69,30,28,206
70,124,124,124
71,32,32,32
72,252,20,27
73,188,251,51
74,172,235,47
75,94,251,47
76,17,135,20
77,41,250,128
78,29,169,252
79,12,47,251
80,55,36,251
81,119,37,251
82,178,31,125
83,64,32,3
84,252,75,30
85,134,223,42
86,108,251,47
87,41,251,46
88,41,251,46
89,80,251,106
90,43,251,203
91,83,137,251
92,42,81,198
93,130,125,234
94,209,43,251
95,252,21,93
96,253,125,35
97,185,176,36
98,142,251,49
99,129,92,17
100,57,40,3
101,17,75,12
102,6,79,56
103,19,20,40
104,17,33,88
105,105,60,27
106,170,9,15
107,223,82,60
108,218,105,28
109,254,223,50
110,155,223,43
111,98,179,32
112,27,28,48
113,221,251,97
114,124,251,186
115,151,154,252
116,139,103,251
117,64,64,64
118,116,116,116
119,223,252,252
120,162,9,13
121,52,0,1
122,32,207,36
123,4,63,5
124,185,176,36
125,61,48,4
126,178,93,22
127,73,20,3
